timestamp,symbol,side,strength,source
2025-11-03 10:21:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:21:00+00:00,META,SELL,1.0,RsiReversionStrategy
2025-11-03 10:22:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:25:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:22:00+00:00,META,SELL,1.0,RsiReversionStrategy
2025-11-03 10:25:00+00:00,META,SELL,2.0,RsiReversionStrategy
2025-11-03 10:26:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:23:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:23:00+00:00,META,SELL,1.0,RsiReversionStrategy
2025-11-03 10:27:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:28:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:28:00+00:00,META,SELL,2.0,RsiReversionStrategy
2025-11-03 10:29:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:24:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:30:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:25:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:25:00+00:00,META,SELL,1.0,RsiReversionStrategy
2025-11-03 10:31:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:32:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:33:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:26:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:34:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:35:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:36:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:37:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:38:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:39:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:40:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:27:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:41:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:42:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:43:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:28:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:28:00+00:00,META,SELL,1.0,RsiReversionStrategy
trategy
2025-11-03 10:45:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:29:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:46:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:47:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:48:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:49:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:50:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:51:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:52:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:53:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:54:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:55:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:56:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:57:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:58:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:30:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:59:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:00:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:01:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:31:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:02:00+00:00,META,SELL,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:03:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:04:00+00:00,META,SELL,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:05:00+00:00,META,SELL,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:32:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:06:00+00:00,META,SELL,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:07:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:33:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:34:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:08:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:35:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:36:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:09:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:37:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:38:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:39:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:40:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:41:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:11:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:12:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:42:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:13:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:14:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:15:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:16:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:17:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:18:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:19:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:20:00+00:00,META,SELL,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:43:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:44:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:45:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:46:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:47:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:48:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 10:49:00+00:00,META,BUY,0.5,MovingAverageCrossoverStrategy
2025-11-03 11:21:00+00:00,META,SELL,0.5,MovingAverageCrossoverStrategy
