timestamp,event_type,order_id,side,type,qty,price,fill_qty,fill_price,reason
2025-11-03 09:50:00+00:00,RISK_PASS,32af4e14-d8f1-4167-ae4c-efacaabe3405,BUY,MARKET,12,656.5,0,0.0,All risk checks passed
2025-11-03 09:50:00+00:00,FILLED,32af4e14-d8f1-4167-ae4c-efacaabe3405,BUY,MARKET,12,656.5,12,656.5,
2025-11-03 09:52:00+00:00,RISK_PASS,9ab0bc76-6291-4719-8756-82934ee6ebfc,SELL,MARKET,12.0,656.0,0,0.0,All risk checks passed
2025-11-03 09:52:00+00:00,FILLED,9ab0bc76-6291-4719-8756-82934ee6ebfc,SELL,MARKET,12.0,656.0,12.0,656.0,
2025-11-03 10:12:00+00:00,RISK_PASS,2fc7a9ee-0a51-431c-91ad-d279ad957010,BUY,MARKET,12,657.1,0,0.0,All risk checks passed
2025-11-03 10:12:00+00:00,FILLED,2fc7a9ee-0a51-431c-91ad-d279ad957010,BUY,MARKET,12,657.1,12,657.1,
2025-11-03 10:18:00+00:00,RISK_PASS,89795527-084b-4d33-ad51-104d07fc511d,SELL,MARKET,12.0,657.3,0,0.0,All risk checks passed
2025-11-03 10:18:00+00:00,FILLED,89795527-084b-4d33-ad51-104d07fc511d,SELL,MARKET,12.0,657.3,12.0,657.3,
2025-11-03 10:19:00+00:00,RISK_PASS,ea7d0186-147e-4a00-b222-cee61f398fc0,BUY,MARKET,12,657.25,0,0.0,All risk checks passed
2025-11-03 10:19:00+00:00,FILLED,ea7d0186-147e-4a00-b222-cee61f398fc0,BUY,MARKET,12,657.25,2,657.25,
2025-11-03 10:20:00+00:00,RISK_PASS,3bf85e25-92b3-4a43-8ee3-61be90b15e22,BUY,MARKET,10,657.36,0,0.0,All risk checks passed
2025-11-03 10:20:00+00:00,RISK_PASS,98550ba5-5f1b-4399-86a2-fba13cc08179,SELL,MARKET,2.0,657.36,0,0.0,All risk checks passed
2025-11-03 10:20:00+00:00,FILLED,3bf85e25-92b3-4a43-8ee3-61be90b15e22,BUY,MARKET,10,657.36,10,657.36,
2025-11-03 10:20:00+00:00,FILLED,98550ba5-5f1b-4399-86a2-fba13cc08179,SELL,MARKET,2.0,657.36,2.0,657.36,
2025-11-03 10:21:00+00:00,RISK_PASS,5fb6d98d-097d-4200-9085-c4f46dcaf625,BUY,MARKET,2,657.4,0,0.0,All risk checks passed
2025-11-03 10:21:00+00:00,RISK_PASS,126be844-394d-4cd4-8905-f1593a316c94,SELL,MARKET,10.0,657.4,0,0.0,All risk checks passed
2025-11-03 10:21:00+00:00,FILLED,5fb6d98d-097d-4200-9085-c4f46dcaf625,BUY,MARKET,2,657.4,2,657.4,
2025-11-03 10:21:00+00:00,FILLED,126be844-394d-4cd4-8905-f1593a316c94,SELL,MARKET,10.0,657.4,10.0,657.4,
2025-11-03 10:22:00+00:00,RISK_PASS,6ca80349-f7c2-4852-ad30-f31ff49319e5,BUY,MARKET,10,658.25,0,0.0,All risk checks passed
2025-11-03 10:22:00+00:00,RISK_PASS,040b6444-0bea-4735-a455-520f1d63a521,SELL,MARKET,2.0,658.25,0,0.0,All risk checks passed
2025-11-03 10:22:00+00:00,FILLED,6ca80349-f7c2-4852-ad30-f31ff49319e5,BUY,MARKET,10,658.25,8,658.25,
2025-11-03 10:22:00+00:00,FILLED,040b6444-0bea-4735-a455-520f1d63a521,SELL,MARKET,2.0,658.25,2.0,658.25,
2025-11-03 10:23:00+00:00,RISK_PASS,99b0ff9c-8c91-420f-a15c-742c974f2c46,BUY,MARKET,4,658.4,0,0.0,All risk checks passed
2025-11-03 10:23:00+00:00,RISK_PASS,064c8f3d-6eee-4ffd-b755-703f377fec6e,SELL,MARKET,8.0,658.4,0,0.0,All risk checks passed
2025-11-03 10:23:00+00:00,FILLED,99b0ff9c-8c91-420f-a15c-742c974f2c46,BUY,MARKET,4,658.4,4,658.4,
2025-11-03 10:23:00+00:00,FILLED,064c8f3d-6eee-4ffd-b755-703f377fec6e,SELL,MARKET,8.0,658.4,8.0,658.4,
2025-11-03 10:24:00+00:00,RISK_PASS,22146f39-873d-493c-9d7d-d86ab1394891,BUY,MARKET,8,658.02,0,0.0,All risk checks passed
2025-11-03 10:24:00+00:00,FILLED,22146f39-873d-493c-9d7d-d86ab1394891,BUY,MARKET,8,658.02,8,658.02,
2025-11-03 10:25:00+00:00,RISK_PASS,a14d22b4-db20-4114-b06d-c85accc68a3f,SELL,MARKET,12.0,658.31,0,0.0,All risk checks passed
2025-11-03 10:25:00+00:00,FILLED,a14d22b4-db20-4114-b06d-c85accc68a3f,SELL,MARKET,12.0,658.31,12.0,658.31,
2025-11-03 10:26:00+00:00,RISK_PASS,bb201651-a96e-45d1-97e3-6255e46a20b4,BUY,MARKET,12,658.0,0,0.0,All risk checks passed
2025-11-03 10:26:00+00:00,FILLED,bb201651-a96e-45d1-97e3-6255e46a20b4,BUY,MARKET,12,658.0,12,658.0,
2025-11-03 10:28:00+00:00,RISK_PASS,76d61b51-4de0-46bf-9ffe-bd55b24f715d,SELL,MARKET,12.0,658.58,0,0.0,All risk checks passed
2025-11-03 10:28:00+00:00,FILLED,76d61b51-4de0-46bf-9ffe-bd55b24f715d,SELL,MARKET,12.0,658.58,4,658.58,
2025-11-03 10:29:00+00:00,RISK_PASS,4538dc0a-747b-4581-88b6-274f7743f95c,BUY,MARKET,4,658.16,0,0.0,All risk checks passed
2025-11-03 10:29:00+00:00,FILLED,4538dc0a-747b-4581-88b6-274f7743f95c,BUY,MARKET,4,658.16,4,658.16,
2025-11-03 11:02:00+00:00,RISK_PASS,7f2e0c24-37e1-4078-a49b-0220f45f22fb,SELL,MARKET,12.0,658.35,0,0.0,All risk checks passed
2025-11-03 11:02:00+00:00,FILLED,7f2e0c24-37e1-4078-a49b-0220f45f22fb,SELL,MARKET,12.0,658.35,12.0,658.35,
2025-11-03 11:03:00+00:00,RISK_PASS,1002898e-57ac-4e14-a671-2d5fb93413a7,BUY,MARKET,12,658.58,0,0.0,All risk checks passed
2025-11-03 11:03:00+00:00,REJECTED,1002898e-57ac-4e14-a671-2d5fb93413a7,BUY,MARKET,12,658.58,0,0.0,Random engine rejection
2025-11-03 11:07:00+00:00,RISK_PASS,4285c623-08a0-4135-aa07-ca5acf23e52c,BUY,MARKET,12,658.15,0,0.0,All risk checks passed
2025-11-03 11:07:00+00:00,FILLED,4285c623-08a0-4135-aa07-ca5acf23e52c,BUY,MARKET,12,658.15,12,658.15,
2025-11-03 11:20:00+00:00,RISK_PASS,2208d5aa-b7dc-42e1-a2be-c707abbf6625,SELL,MARKET,12.0,657.66,0,0.0,All risk checks passed
2025-11-03 11:20:00+00:00,FILLED,2208d5aa-b7dc-42e1-a2be-c707abbf6625,SELL,MARKET,12.0,657.66,12.0,657.66,
2025-11-03 11:26:00+00:00,RISK_PASS,8709bbe0-e61b-49c7-a01b-8d6ff3d3ec7b,BUY,MARKET,15,657.38,0,0.0,All risk checks passed
