Datetime,Close,High,Low,Open,Volume
2025-11-07 14:30:00+00:00,614.4105224609375,617.4000244140625,614.25,616.4849853515625,2512561.0
2025-11-07 14:31:00+00:00,614.7098999023438,616.0,614.4000244140625,614.5800170898438,82593.0
2025-11-07 14:32:00+00:00,613.7299194335938,615.4299926757812,612.6799926757812,614.47998046875,104415.0
2025-11-07 14:33:00+00:00,613.0399780273438,613.719970703125,612.219970703125,613.375,76563.0
2025-11-07 14:34:00+00:00,612.8300170898438,614.0678100585938,611.3099975585938,613.2000122070312,97896.0
2025-11-07 14:35:00+00:00,613.8316040039062,614.5,612.4000244140625,612.8599853515625,55080.0
2025-11-07 14:36:00+00:00,612.7800903320312,614.0,612.5,613.8200073242188,50730.0
2025-11-07 14:37:00+00:00,610.1400146484375,612.9028930664062,609.4000244140625,612.6405029296875,159490.0
2025-11-07 14:38:00+00:00,609.89501953125,611.4400024414062,609.6882934570312,610.2653198242188,100087.0
2025-11-07 14:39:00+00:00,607.9199829101562,610.1099853515625,607.47998046875,609.9600219726562,137524.0
2025-11-07 14:40:00+00:00,608.2525024414062,608.469970703125,607.0,607.9500122070312,154287.0
2025-11-07 14:41:00+00:00,607.2899780273438,608.4984741210938,606.5,608.22998046875,140636.0
2025-11-07 14:42:00+00:00,607.4249877929688,608.4998779296875,606.7579956054688,607.1799926757812,100325.0
2025-11-07 14:43:00+00:00,607.625,608.489990234375,607.2000122070312,607.469970703125,102798.0
2025-11-07 14:44:00+00:00,608.3499755859375,608.6599731445312,607.6099853515625,607.625,92338.0
2025-11-07 14:45:00+00:00,609.3499755859375,609.4199829101562,608.1400146484375,608.3800048828125,105374.0
2025-11-07 14:46:00+00:00,607.8400268554688,609.5999755859375,607.5999755859375,609.1849975585938,117874.0
2025-11-07 14:47:00+00:00,608.14501953125,608.5999755859375,607.4000244140625,607.8699951171875,113564.0
2025-11-07 14:48:00+00:00,609.6624755859375,610.2000122070312,607.5001220703125,608.14501953125,131114.0
2025-11-07 14:49:00+00:00,607.6799926757812,610.0394287109375,607.2999877929688,609.655029296875,86685.0
2025-11-07 14:50:00+00:00,608.6950073242188,608.989990234375,607.22998046875,607.5599975585938,87644.0
2025-11-07 14:51:00+00:00,609.1400146484375,609.1400146484375,607.8499755859375,608.6519775390625,67396.0
2025-11-07 14:52:00+00:00,610.219970703125,610.7899780273438,608.5,609.1099853515625,73366.0
2025-11-07 14:53:00+00:00,609.64599609375,610.6099853515625,609.2050170898438,610.3156127929688,56662.0
2025-11-07 14:54:00+00:00,609.5700073242188,610.0543212890625,609.02001953125,609.6589965820312,43458.0
2025-11-07 14:55:00+00:00,608.4000244140625,609.6799926757812,608.3699951171875,609.6300048828125,63837.0
2025-11-07 14:56:00+00:00,609.5800170898438,609.7445068359375,608.2000122070312,608.3800048828125,53473.0
2025-11-07 14:57:00+00:00,610.125,610.3900146484375,609.5,609.77001953125,48817.0
2025-11-07 14:58:00+00:00,609.405029296875,610.5800170898438,609.25,610.125,68058.0
2025-11-07 14:59:00+00:00,608.5269775390625,609.4149780273438,608.1300048828125,609.315673828125,65031.0
2025-11-07 15:00:00+00:00,606.2899780273438,608.594970703125,606.2000122070312,608.5900268554688,91558.0
2025-11-07 15:01:00+00:00,605.75,606.530029296875,604.719970703125,606.4600219726562,160299.0
2025-11-07 15:02:00+00:00,605.25,605.9000244140625,605.0,605.6619873046875,74987.0
2025-11-07 15:03:00+00:00,604.1348876953125,605.239990234375,603.6901245117188,605.1500244140625,98731.0
2025-11-07 15:04:00+00:00,604.4949951171875,604.8599853515625,603.8200073242188,603.9349975585938,74493.0
2025-11-07 15:05:00+00:00,605.3674926757812,605.8198852539062,604.35009765625,604.5150146484375,80668.0
2025-11-07 15:06:00+00:00,605.2050170898438,605.8599853515625,604.7901000976562,605.3400268554688,66470.0
2025-11-07 15:07:00+00:00,605.406982421875,605.6998901367188,604.6179809570312,605.1951293945312,60953.0
2025-11-07 15:08:00+00:00,605.3604125976562,605.9000244140625,605.0,605.6099853515625,52674.0
